127.0.0.1 - - [20/Sep/2016:16:47:59 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [20/Sep/2016:16:48:12 +0530] "GET /Mychat/blog.html HTTP/1.1" 200 6352
0:0:0:0:0:0:0:1 - - [20/Sep/2016:16:48:25 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:16:48:49 +0530] "GET /Mychat/blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2016:16:48:49 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:16:49:33 +0530] "GET /Mychat/blog.html HTTP/1.1" 200 7589
0:0:0:0:0:0:0:1 - - [20/Sep/2016:16:49:36 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:16:53:47 +0530] "GET /Mychat/blog.html HTTP/1.1" 200 7638
0:0:0:0:0:0:0:1 - - [20/Sep/2016:16:53:49 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:16:54:57 +0530] "GET /Mychat/blog.html HTTP/1.1" 200 7636
0:0:0:0:0:0:0:1 - - [20/Sep/2016:16:54:58 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:05:07 +0530] "GET /Mychat/blog.html HTTP/1.1" 200 7742
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:05:10 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:05:49 +0530] "GET /Mychat/blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:05:49 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:06:07 +0530] "GET /Mychat/blog.html HTTP/1.1" 200 7742
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:06:07 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:06:12 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:06:12 +0530] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:06:30 +0530] "GET /Mychat/blog.html? HTTP/1.1" 200 7742
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:06:30 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:09:55 +0530] "GET /Mychat/blog.html HTTP/1.1" 200 7732
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:09:57 +0530] "GET /Mychat/blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:09:58 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:10:04 +0530] "GET /Mychat/blog.html? HTTP/1.1" 200 7732
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:10:06 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:10:07 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:14:48 +0530] "GET /Mychat/blog1.jsp HTTP/1.1" 200 7870
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:14:48 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:15:20 +0530] "GET /Mychat/blog1.jsp HTTP/1.1" 200 7700
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:15:24 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:15:35 +0530] "GET /Mychat/blog1.jsp HTTP/1.1" 200 7700
0:0:0:0:0:0:0:1 - - [20/Sep/2016:17:15:35 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
