127.0.0.1 - - [24/Oct/2016:15:13:53 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:14:08 +0530] "GET /Mychat/blog.html HTTP/1.1" 200 7736
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:14:12 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:17:10 +0530] "GET /Mychat/Home.html HTTP/1.1" 200 13459
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:18:51 +0530] "GET /Mychat/reg.html HTTP/1.1" 200 11365
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:18:52 +0530] "GET /Mychat/resource/images/c.jpg HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:19:30 +0530] "GET /Mychat/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:19:46 +0530] "GET /Mychat/reg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:19:48 +0530] "GET /Mychat/resource/images/c.jpg HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:19:48 +0530] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:20:37 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:20:50 +0530] "GET /Mychat/blog.html HTTP/1.1" 200 7736
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:20:54 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:23:52 +0530] "GET /Mychat/blog.html HTTP/1.1" 200 7756
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:24:18 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:25:51 +0530] "GET /Mychat/blog.html HTTP/1.1" 200 7783
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:26:02 +0530] "GET /Mychat/blog.html HTTP/1.1" 200 7783
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:26:14 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:28:21 +0530] "GET /Mychat/login HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:28:45 +0530] "GET /Mychat/login HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:29:29 +0530] "GET /Mychat/blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:29:30 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:29:38 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:29:57 +0530] "GET /Mychat/%7B%7Bpost.image%7D%7D HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [24/Oct/2016:15:30:12 +0530] "GET /Mychat/login.html HTTP/1.1" 404 1032
